nombre,zona,tier,tamaño_estimado,instagram,strava_club_url,web,email_contacto,tel,hora_quedada_abierta,ultimo_evento_verificado,personalization_hook,estado_contacto,fecha_contacto,respuesta,notas
Madrid Runners,Retiro / Centro,1,~800 miembros informales,@madridrunners,,,,,Sábados 09:00 Retiro,⚠ verificar IG,"Ruta Retiro circular popular entre runners de 25-35. Podríamos co-organizar quedadas open-doors.",pendiente,,,"VERIFICAR en IG si siguen activos. Tier 1 — prioridad alta."
Club Canguro Madrid,Retiro,1,~500 socios,@clubcanguro,,,,,Martes y jueves 19:30 Retiro,⚠ verificar,"Club histórico de Retiro. Muchos hablan de sus series del martes. Buen fit para open-days.",pendiente,,,"Club con tradición — el coach tiene peso. El pitch de 'no tocamos lo interno' es crítico aquí."
Retiro Runners,Retiro,1,~400,@retirorunners,,,,,Domingos 08:30,⚠ verificar,"Reconocidos por sus rodajes largos del domingo. Tienen mezcla de niveles perfecta para captación.",pendiente,,,""
Kenya Running Madrid,Casa de Campo / varios,1,~300,@kenyarunning,,,,,Fines de semana rotan parques,⚠ verificar,"Foco en training serio pero cultura acogedora. Perfil coach fuerte.",pendiente,,,"Buscar al coach principal en IG y mencionarlo por nombre en email."
Mamma Mia Running,Varios parques (Retiro / Oeste),2,~200+ mujeres,@mammamiarunning,,,,,Martes 19:00 Retiro; Sábados 10:00,⚠ verificar,"Foco mujeres / beginners 0-to-5K. Encaja perfecto con captación CorrerJuntos (su audiencia NO está en clubs tradicionales).",pendiente,,,"Tier 2 priority — su audiencia es más fácil de convencer. Escribe a la fundadora por DM Instagram directo, no email."
Atletismo Chamartín,Chamartín,2,~300 socios,,,,,,Consultar web,⚠ verificar,"Club clásico con sección de adultos. Posible reticencia pero tienen entrenamientos abiertos ocasionales.",pendiente,,,"Club federado — tienen web propia con email. Tono formal en email."
Club Atletismo Rivas,Rivas-Vaciamadrid (SE Madrid),2,~250,@clubatletismorivas,,,,,Miércoles y sábados,⚠ verificar,"Fuera de Madrid centro pero área metropolitana. Menos competencia de apps aquí.",pendiente,,,""
Majadahonda Running,Majadahonda (NO Madrid),2,~200,,,,,,Sábados Monte del Pilar,⚠ verificar,"Área noroeste Madrid — perfil sociodemográfico alto. Buen target para Pro tier.",pendiente,,,""
Correcaminos Madrid,Varios,2,~200,@correcaminos,,,,,,⚠ verificar,"Club amateur con buena vibra. Buscar en IG post recientes para confirmar actividad.",pendiente,,,""
Runners Casa de Campo,Casa de Campo,2,~150 informales,,,,,,Domingos 09:30,⚠ verificar,"Grupo informal que se junta. Sin coach fijo — podríamos ser LA herramienta de coordinación que les falta.",pendiente,,,"Informal = sin coach competidor = MUY fácil cerrar. Tier 1 de oportunidad."
,,,,,,,,,,,,"rellenar: buscar '[barrio] runners Madrid' en IG / Strava clubs / Meetup",pendiente,,,"Tier sugerido 1 — grupos de Malasaña/Chueca/La Latina"
,,,,,,,,,,,,"rellenar: buscar 'Chamberí running'",pendiente,,,""
,,,,,,,,,,,,"rellenar: buscar 'Latina corre' o 'Carabanchel runners'",pendiente,,,""
,,,,,,,,,,,,"rellenar: buscar 'Salamanca runners' (barrio)",pendiente,,,""
,,,,,,,,,,,,"rellenar: buscar 'Tetuán running'",pendiente,,,""
,,,,,,,,,,,,"rellenar: Meetup — 'Running Madrid' filtrar por grupos con eventos recurrentes",pendiente,,,""
,,,,,,,,,,,,"rellenar: Strava Clubs Madrid 100-500 miembros",pendiente,,,""
,,,,,,,,,,,,"rellenar: Fb grupos 'Corredores Madrid' — activos con posts semanales",pendiente,,,""
,,,,,,,,,,,,"rellenar: Trail clubs (Pedriza / Guadarrama) — nicho adyacente",pendiente,,,""
,,,,,,,,,,,,"rellenar: women-only (Running & Girl Power / Vitoria / etc)",pendiente,,,""
