url,clicks,impressions,ctr,position
https://www.correrjuntos.com/blog/en/best-hydration-drinks-running,5,9767,0.05,7.71
https://www.correrjuntos.com/blog/cuanto-tardo-en-correr-5km,28,8973,0.31,9.47
https://www.correrjuntos.com/blog/en/best-running-apps,1,6237,0.02,8.59
https://www.correrjuntos.com/blog/en/best-budget-running-shoes,15,5307,0.28,6.97
https://www.correrjuntos.com/blog/en/madrid-marathon-guide,67,4925,1.36,9.3
https://www.correrjuntos.com/blog/en/strava-vs-garmin-connect,10,4644,0.22,9.92
https://www.correrjuntos.com/equipamiento/bebidas-hidratacion-running,6,3378,0.18,5.62
https://www.correrjuntos.com/blog/en/tapering-race-week-guide,0,3238,0.0,7.34
https://www.correrjuntos.com/blog/en/best-running-shoes-overweight,7,3141,0.22,11.55
https://www.correrjuntos.com/blog/en/average-5k-time-by-age,1,2997,0.03,10.26
https://www.correrjuntos.com/blog/en/best-apps-running-groups,5,2897,0.17,7.26
https://www.correrjuntos.com/blog/en/coros-pace-3-review,0,2423,0.0,11.57
https://www.correrjuntos.com/blog/mejores-zapatillas-running-asfalto,16,2348,0.68,13.45
https://www.correrjuntos.com/blog/mejores-apps-running.html,9,2225,0.4,5.48
https://www.correrjuntos.com/blog/en/best-running-shoes,1,2219,0.05,8.67
https://www.correrjuntos.com/blog/mejores-zapatillas-running-sobrepeso,37,2142,1.73,9.47
https://www.correrjuntos.com/blog/en/best-omega-3-running,1,2003,0.05,8.71
https://www.correrjuntos.com/blog/en/zone-training-running,1,1979,0.05,7.4
https://www.correrjuntos.com/blog/en/how-long-running-shoes-last,0,1896,0.0,13.32
https://www.correrjuntos.com/blog/en/marathon-carb-loading,1,1818,0.06,6.65
https://www.correrjuntos.com/blog/en/running-technical-clothing,1,1803,0.06,8.2
https://www.correrjuntos.com/blog/en/best-energy-gels-running,1,1750,0.06,9.41
https://www.correrjuntos.com/blog/en/best-value-gps-running-watch,0,1676,0.0,8.67
https://www.correrjuntos.com/blog/en/garmin-forerunner-55-review,5,1658,0.3,17.79
https://www.correrjuntos.com/blog/en/running-belts,3,1648,0.18,9.14
https://www.correrjuntos.com/blog/en/shokz-openrun-pro-2-review,5,1645,0.3,6.66
https://www.correrjuntos.com/blog/en/running-caps,9,1612,0.56,11.6
https://www.correrjuntos.com/blog/en/asics-gel-nimbus-26-vs-nike-pegasus-41,11,1601,0.69,6.87
https://www.correrjuntos.com/blog/en/garmin-venu-3-review,1,1526,0.07,14.68
https://www.correrjuntos.com/blog/mejores-geles-energeticos-running,28,1468,1.91,16.41
https://www.correrjuntos.com/blog/maraton-madrid-guia,45,1457,3.09,12.58
https://www.correrjuntos.com/blog/en/how-many-calories-burned-running,0,1453,0.0,16.02
https://www.correrjuntos.com/blog/en/best-recovery-drinks-running,9,1447,0.62,11.09
https://www.correrjuntos.com/blog/en/what-energy-gel-marathon,2,1445,0.14,14.38
https://www.correrjuntos.com/blog/en/running-power,1,1438,0.07,9.3
https://www.correrjuntos.com/blog/en/apple-watch-running-review,0,1414,0.0,14.04
https://www.correrjuntos.com/blog/en/salomon-speedcross-6-vs-hoka-speedgoat-6,26,1412,1.84,7.24
https://www.correrjuntos.com/blog/mejores-auriculares-running,13,1391,0.93,10.8
https://www.correrjuntos.com/blog/en/running-hydration-complete-guide,0,1390,0.0,9.27
https://www.correrjuntos.com/blog/en/running-pace-for-beginners,1,1388,0.07,11.06
https://www.correrjuntos.com/blog/en/best-half-marathon-shoes,11,1365,0.81,18.74
https://www.correrjuntos.com/blog/mejores-apps-running,3,1353,0.22,10.47
https://www.correrjuntos.com/blog/en/marathon-sub-3-30-plan,14,1309,1.07,13.01
https://www.correrjuntos.com/blog/en/running-groups-barcelona,44,1308,3.36,7.62
https://www.correrjuntos.com/equipamiento/bebidas-hidratacion-running.html,0,1299,0.0,6.51
https://www.correrjuntos.com/blog/en/best-budget-running-headphones,6,1252,0.48,8.37
https://www.correrjuntos.com/carreras/jean-bouin-barcelona,28,1251,2.24,8.21
https://www.correrjuntos.com/blog/gorras-running,26,1217,2.14,6.82
https://www.correrjuntos.com/blog/en/how-to-choose-running-shoes,0,1189,0.0,9.35
https://www.correrjuntos.com/blog/en/best-running-routes-madrid,5,1177,0.42,10.44
